n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.43803851885928047,0.7094516819342971,0.7027224318352695,81
0,5000,1,0.5063425161772304,0.7081272795738516,0.7031243522638665,94
0,5000,2,0.45551445542110336,0.7149625325701752,0.7085299352004344,89
0,5000,3,0.41096024215221405,0.7164465021105262,0.7088724624650353,92
0,5000,4,0.501207230405675,0.7122962954861907,0.7070626827334016,91
120,4880,0,0.6360938631825976,0.7043121978416934,0.7026208362993643,93
120,4880,1,0.7106703751617007,0.7079868523277721,0.7080533874449487,94
120,4880,2,0.7146056811842654,0.7101651379117732,0.7102752352882556,93
120,4880,3,0.6445271745324135,0.7088358157951027,0.7072413850437141,89
120,4880,4,0.7533738592432605,0.7084317134330207,0.709545982208811,94
